,location,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
0,Andheri,494.0,2.38,60.08,0.54,14.17,21.72,53
1,Bandra,1869.2,46.61,9.48,16.93,153.23,219.85,202
2,Borivali,317.1,4.33,75.82,3.1,36.69,101.11,102
3,Chembur,801.09,21.94,55.08,17.88,59.68,132.34,138
4,Colaba,647.54,21.76,65.09,17.88,51.09,112.3,121
5,Dadar,754.36,18.85,45.78,3.19,46.96,56.9,113
6,Dharavi,801.09,21.94,55.08,17.88,59.68,132.34,138
7,Goregaon,500.68,4.46,58.65,5.84,27.13,31.56,73
8,Juhu,801.09,21.94,55.08,17.88,59.68,132.34,138
9,Kandivali,317.1,4.33,75.82,3.1,36.69,101.11,102
10,Khar,413.9,10.28,77.96,1.25,11.14,18.55,107
11,Malad,280.38,7.03,95.84,1.58,13.43,14.11,152
12,Mira Road,233.65,9.68,72.24,4.23,1.26,1.54,91
13,Mulund,801.09,21.94,55.08,17.88,59.68,132.34,138
14,Navi Mumbai,1455.31,43.87,35.76,33.85,97.14,170.19,168
15,Powai,801.09,21.94,55.08,17.88,59.68,132.34,138
16,Santacruz,205.28,0.06,9.92,15.74,3.45,3.91,23
17,Thane,801.09,21.94,55.08,17.88,59.68,132.34,138
18,Virar,253.68,1.93,81.54,1.28,34.05,78.62,116
19,Worli,801.09,21.94,55.08,17.88,59.68,132.34,138
